"HJD";"Uncert.";"O-C";"E";"Reference";"Observer";"Obs. meth.";"Comment"
"2419674.3980";"0.01";"+0.0142";"-77803";"Zinner, 1931";"E. Zinner";"-";""
"2419685.4190";"0.01";"+0.0119";"-77779";"Zinner, 1931";"E. Zinner";"-";""
"2419686.3380";"0.01";"+0.0123";"-77777";"Zinner, 1931";"E. Zinner";"-";""
"2419687.2570";"0.01";"+0.0127";"-77775";"Zinner, 1931";"E. Zinner";"-";""
"2420024.3830";"0.01";"+0.0102";"-77041";"Zinner, 1931";"E. Zinner";"-";""
"2420037.2430";"0.01";"+0.0097";"-77013";"Zinner, 1931";"E. Zinner";"-";""
"2420039.0800";"0.01";"+0.0095";"-77009";"Zinner, 1931";"E. Zinner";"-";""
"2420042.2960";"0.01";"+0.0104";"-77002";"Zinner, 1931";"E. Zinner";"-";""
"2420054.2380";"0.01";"+0.0105";"-76976";"Zinner, 1931";"E. Zinner";"-";""
"2420076.2840";"0.01";"+0.0100";"-76928";"Zinner, 1931";"E. Zinner";"-";""
"2420122.2140";"0.01";"+0.0096";"-76828";"Zinner, 1931";"E. Zinner";"-";""
"2424373.5220";"0.01";"+0.0078";"-67572";"Ivanov, 1926a";"N. Ivanov";"-";""
"2424379.4920";"0.01";"+0.0068";"-67559";"Ivanov, 1926a";"N. Ivanov";"-";""
"2424415.3160";"0.01";"+0.0052";"-67481";"Ivanov, 1926a";"N. Ivanov";"-";""
"2425069.3530";"0.01";"-0.0055";"-66057";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425086.3500";"0.01";"-0.0027";"-66020";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425087.2720";"0.01";"+0.0007";"-66018";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425092.3220";"0.01";"-0.0016";"-66007";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425093.2380";"0.01";"-0.0042";"-66005";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425096.4550";"0.01";"-0.0024";"-65998";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425097.3740";"0.01";"-0.0020";"-65996";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425097.3771";"0.01";"+0.0011";"-65996";"GCVS";"-";"-";""
"2425098.2930";"0.01";"-0.0016";"-65994";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425102.4250";"0.01";"-0.0033";"-65985";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425104.2640";"0.01";"-0.0015";"-65981";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425108.3960";"0.01";"-0.0032";"-65972";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425120.3380";"0.01";"-0.0031";"-65946";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425121.2570";"0.01";"-0.0027";"-65944";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425125.3910";"0.01";"-0.0025";"-65935";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425127.2280";"0.01";"-0.0027";"-65931";"Eropkin, Okunev, 1930";"V.P. Tsesevich";"-";""
"2425127.2290";"0.01";"-0.0017";"-65931";"Eropkin, Okunev, 1930";"D. Eropkin";"-";""
"2426577.2510";"0.01";"+0.0003";"-62774";"Tsesevich, 1933, 1934, 1935";"V.P. Tsesevich";"-";""
"2426949.2870";"0.01";"+0.0008";"-61964";"Tsesevich, 1933, 1934, 1935";"V.P. Tsesevich";"-";""
"2426971.3310";"0.01";"-0.0018";"-61916";"Tsesevich, 1933, 1934, 1935";"N.F. Florya";"-";""
"2427325.4580";"0.01";"+0.0025";"-61145";"Lange, 1938";"G.A. Lange";"-";""
"2427662.5840";"0.01";"-0.0000";"-60411";"Tsesevich, 1934";"V.P. Tsesevich";"-";""
"2427769.1370";"0.01";"-0.0053";"-60179";"Tsesevich, 1934";"G.A. Lange";"-";""
